model,variant_label,base_model,family,profile,data_regime,dataset,seed,test_acc,test_auc,best_val_auc,best_epoch,attn_params,total_params,time_s
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,pathmnist,42,0.6901,0.936,0.9309,95,48,1769,1635.8
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,pathmnist,7,0.616,0.9162,0.9232,98,48,1769,1651.3
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,pathmnist,123,0.6596,0.9415,0.9447,97,160,4073,5034.8
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,pathmnist,42,0.6696,0.9382,0.9432,95,160,4073,39217.4
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,pathmnist,7,0.6933,0.9432,0.9438,100,160,4073,14108.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,pathmnist,123,0.6812,0.9512,0.9468,99,416,4329,9352.5
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,pathmnist,42,0.6774,0.9451,0.946,95,416,4329,4712.3
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,pathmnist,7,0.6701,0.9392,0.9432,100,416,4329,4242.9
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,pneumoniamnist,123,0.8446,0.9447,0.9902,65,24,882,539.1
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,pneumoniamnist,42,0.8574,0.9399,0.992,49,24,882,548.5
A|butterfly|lite|train_subset_5000,"A: OrthoPatch [butterfly, lite, train_subset_5000]",A,butterfly,lite,train_subset_5000,pneumoniamnist,7,0.8349,0.947,0.9908,40,24,882,538.1
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,pneumoniamnist,123,0.8894,0.9452,0.9928,45,48,922,813.3
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,pneumoniamnist,42,0.8574,0.9428,0.9935,50,48,922,814.7
B|butterfly|lite|train_subset_5000,"B: OrthoTransformer [butterfly, lite, train_subset_5000]",B,butterfly,lite,train_subset_5000,pneumoniamnist,7,0.8606,0.9405,0.9919,39,48,922,817.2
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,pneumoniamnist,123,0.8718,0.949,0.9943,45,160,2386,2435.4
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,pneumoniamnist,42,0.8622,0.9509,0.9954,63,160,2386,51026.2
D|butterfly|lite|train_subset_5000,"D: Compound [butterfly, lite, train_subset_5000]",D,butterfly,lite,train_subset_5000,pneumoniamnist,7,0.8429,0.9523,0.9936,70,160,2386,2388.2
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,pneumoniamnist,123,0.8494,0.9507,0.9934,48,416,2642,2633.0
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,pneumoniamnist,42,0.867,0.9485,0.9941,49,416,2642,2659.3
D_full|butterfly|lite|train_subset_5000,"D: Compound (full sector) [butterfly, lite, train_subset_5000]",D_full,butterfly,lite,train_subset_5000,pneumoniamnist,7,0.8734,0.9426,0.9937,48,416,2642,2670.0
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,retinamnist,123,0.495,0.6776,0.7659,96,256,12901,253.7
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,retinamnist,42,0.4825,0.6759,0.7593,91,256,12901,288.5
OrthoFNN|baseline|full|standard,"OrthoFNN [baseline, full]",OrthoFNN,baseline,full,standard,retinamnist,7,0.495,0.6625,0.7729,50,256,12901,245.4
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,retinamnist,123,0.5225,0.7444,0.8425,26,2048,9333,83.6
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,retinamnist,42,0.5475,0.7375,0.8187,15,2048,9333,77.7
VisionTransformer|baseline|full|standard,"VisionTransformer [baseline, full]",VisionTransformer,baseline,full,standard,retinamnist,7,0.565,0.7433,0.8431,50,2048,9333,79.8
A|generic|full|standard,"A: OrthoPatch [generic, full]",A,generic,full,standard,retinamnist,123,0.5425,0.7417,0.833,61,960,8213,2097.1
A|generic|full|standard,"A: OrthoPatch [generic, full]",A,generic,full,standard,retinamnist,42,0.5425,0.7475,0.834,28,960,8213,2126.6
A|generic|full|standard,"A: OrthoPatch [generic, full]",A,generic,full,standard,retinamnist,7,0.55,0.7413,0.8479,39,960,8213,2140.7
B|generic|full|standard,"B: OrthoTransformer [generic, full]",B,generic,full,standard,retinamnist,123,0.5375,0.7503,0.8275,24,1920,9205,4428.9
B|generic|full|standard,"B: OrthoTransformer [generic, full]",B,generic,full,standard,retinamnist,42,0.5175,0.7396,0.8394,49,1920,9205,4422.1
