Date,DP,EP,MKT,SMB,HML,TB,DEF,IP,INF,RV,STR,RV_q,RV_a,RV1,RV2
1966-08-31,0.38704581358609796,0.42402826855123676,-0.22064056939501797,-0.2774896265560166,-0.05674044265593581,0.30386740331491713,0.06535947712418334,0.0007779895477537657,0.006163328197226425,-0.4602366416405028,-0.031776913099870296,-0.761395233881725,-0.9358966345099377,-0.6227441875812869,-0.7233252640813843
1966-09-30,0.41074249605055285,0.44310954063604235,0.1276054905948143,-0.16182572614107893,-0.046277665995975936,0.329036218538981,0.09150326797385627,0.009325727100383707,0.003062787136294043,-0.559000555926823,0.01621271076523989,-0.7432268251144802,-0.9025604099191861,-0.4602366416405028,-0.6227441875812869
1966-10-31,0.4154818325434439,0.4487632508833922,0.37773258769700035,-0.44605809128630713,0.12515090543259544,0.3278084714548803,0.12091503267973858,0.006926092097841563,0.003053435114503955,-0.49359794918162936,-0.15045395590142674,-0.7007606701602784,-0.8860950827155258,-0.559000555926823,-0.4602366416405028
1966-11-30,0.3854660347551342,0.4261484098939929,0.2526690391459072,0.11203319502074671,-0.4688128772635817,0.32596685082872934,0.15032679738562116,-0.00688129482083033,0.0009132420091324533,-0.6612848512178182,0.5350194552529182,-0.6673856273366904,-0.8605610291202057,-0.49359794918162936,-0.559000555926823
1966-12-31,0.3823064770932069,0.42473498233215545,0.1881037112353836,-0.005705394190871571,-0.18712273641851118,0.30386740331491713,0.15359477124183024,0.0023106127848180336,0.0012165450121655041,-0.6917578196751704,-0.0330739299610896,-0.7193421743286657,-0.8438562098526325,-0.6612848512178182,-0.49359794918162936
1967-01-31,0.36334913112164297,0.4042402826855124,0.5958312150482967,0.32365145228215764,0.09134808853118703,0.28913443830570906,0.1470588235294118,0.004716266978989525,-0.0006075334143378353,-0.6703641526555211,0.17769130998702964,-0.7536504082938853,-0.8366712279156581,-0.6917578196751704,-0.6612848512178182
1967-02-28,0.34755134281200634,0.3865724381625442,0.22114895780376198,0.0658713692946058,-0.2700201207243462,0.27931246163290363,0.15359477124183024,-0.011341536921834594,0.003039513677811634,-0.7488093977810991,0.03307392996108938,-0.7993317977312402,-0.8212656262947848,-0.6703641526555211,-0.6917578196751704
1967-03-31,0.33649289099526064,0.3731448763250883,0.3843416370106758,-0.02748962655601661,-0.06156941649899417,0.2608962553713935,0.1307189542483661,-0.005636605728056687,0.0,-0.7243899469193285,0.06744487678339817,-0.8219506174960471,-0.8189844153587383,-0.7488093977810991,-0.6703641526555211
1967-04-30,0.3285939968404423,0.36325088339222616,0.37925775292323327,-0.07520746887966823,-0.29094567404426575,0.23511356660527932,0.1307189542483661,0.009431206563957684,0.003030303030303161,-0.650628121971665,-0.01491569390402081,-0.8303836826607345,-0.8251967406840024,-0.7243899469193285,-0.7488093977810991
1967-05-31,0.3191153238546603,0.3526501766784452,-0.038637519064565584,-0.00933609958506243,-0.003621730382293853,0.22038060159607123,0.1307189542483661,-0.008724228428664715,0.0,-0.6407902523430257,0.06614785992217898,-0.8252833338050213,-0.8166382407377036,-0.650628121971665,-0.7243899469193285
