date,log_return
1991-11-20,-0.0023484796
1991-11-21,0.0040338018
1991-11-22,-0.0103676751
1991-11-25,-0.0021291814
1991-11-26,0.0069560752
1991-11-27,-0.0037375392
1991-11-29,-0.0035382843
1991-12-02,0.0163361533
1991-12-03,-0.0011543169
1991-12-04,-0.0023388948
1991-12-05,-0.0070762912
1991-12-06,0.0045208643
1991-12-09,-0.0022182229
1991-12-10,-0.0009522215
1991-12-11,-0.0005293322
1991-12-12,0.0101416097
1991-12-13,0.0076238939
1991-12-16,-0.0000260356
1991-12-17,-0.0044838481
1991-12-18,0.0019316149
1991-12-19,-0.0025065861
1991-12-20,0.0117471582
1991-12-23,0.0249547269
1991-12-24,0.0063053133
1991-12-26,0.0137038092
1991-12-27,0.0039935839
1991-12-30,0.0211303459
1991-12-31,0.0046861690
1992-01-02,0.0004075350
1992-01-03,0.0049724859
1992-01-06,-0.0032963243
1992-01-07,-0.0013407337
1992-01-08,0.0016756729
1992-01-09,-0.0011727054
1992-01-10,-0.0060284778
1992-01-13,-0.0018325858
1992-01-14,0.0146149038
1992-01-15,0.0007845522
1992-01-16,-0.0061026617
1992-01-17,0.0015530220
1992-01-20,-0.0059864648
1992-01-21,-0.0089746578
1992-01-22,0.0132168230
1992-01-23,-0.0076102912
1992-01-24,0.0012523954
1992-01-27,-0.0011801048
1992-01-28,-0.0000722906
1992-01-29,-0.0111960340
1992-01-30,0.0031145064
1992-01-31,-0.0069234708
1992-02-03,0.0018330467
1992-02-04,0.0104934464
1992-02-05,-0.0000241872
1992-02-06,-0.0000483025
1992-02-07,-0.0066189547
1992-02-10,0.0064980776
1992-02-11,-0.0000241182
1992-02-12,0.0081118163
1992-02-13,-0.0082810285
1992-02-14,-0.0029291606
1992-02-18,-0.0124413236
1992-02-19,0.0021578275
1992-02-20,0.0137201337
1992-02-21,-0.0059855055
1992-02-24,0.0020395694
1992-02-25,-0.0044242993
1992-02-26,0.0118674044
1992-02-27,-0.0035938360
1992-02-28,-0.0028067507
1992-03-02,-0.0006059504
1992-03-03,0.0009693297
1992-03-04,-0.0085627018
1992-03-05,-0.0069130909
1992-03-06,-0.0051051527
1992-03-09,0.0019020299
1992-03-10,0.0041374845
1992-03-11,-0.0070537850
1992-03-12,-0.0003465297
1992-03-13,0.0048163843
1992-03-16,0.0013543415
1992-03-17,0.0078188859
1992-03-18,-0.0010503896
1992-03-19,0.0015873840
1992-03-20,0.0036536395
1992-03-23,-0.0033852132
1992-03-24,-0.0025159059
1992-03-25,-0.0033317421
1992-03-26,0.0008339581
1992-03-27,-0.0107474546
1992-03-30,-0.0012399258
1992-03-31,0.0017107008
1992-04-01,0.0013367873
1992-04-02,-0.0092702836
1992-04-03,0.0026182617
1992-04-06,0.0100107599
1992-04-07,-0.0187400466
1992-04-08,-0.0089836013
1992-04-09,0.0154441647
1992-04-10,0.0090691583
1992-04-13,0.0044176881
1992-04-14,0.0154193876
1992-04-15,0.0093885688
1992-04-16,-0.0005766778
1992-04-20,-0.0141853601
1992-04-21,0.0001950590
1992-04-22,-0.0010974972
1992-04-23,0.0043583871
1992-04-24,-0.0062879910
1992-04-27,-0.0013944901
1992-04-28,0.0016144951
1992-04-29,0.0070878325
1992-04-30,0.0070861953
1992-05-01,-0.0058491330
1992-05-04,0.0105614525
1992-05-05,-0.0001679336
1992-05-06,-0.0001199280
1992-05-07,-0.0022578853
1992-05-08,0.0004807830
1992-05-11,0.0058475554
1992-05-12,-0.0052708181
1992-05-13,0.0003842824
1992-05-14,-0.0079798817
1992-05-15,-0.0074099152
1992-05-18,0.0066107939
1992-05-19,0.0085868435
1992-05-20,-0.0023564031
1992-05-21,-0.0067392578
1992-05-22,0.0034356399
1992-05-26,-0.0063239622
1992-05-27,0.0018456251
1992-05-28,0.0110265845
1992-05-29,-0.0033409497
1992-06-01,0.0046838054
1992-06-02,-0.0091478439
1992-06-03,0.0026325568
1992-06-04,-0.0032131128
1992-06-05,0.0005322138
1992-06-08,-0.0002903237
1992-06-09,-0.0080153640
1992-06-10,-0.0068762370
1992-06-11,0.0044101206
1992-06-12,0.0017342782
1992-06-15,0.0012926013
1992-06-16,-0.0048130489
1992-06-17,-0.0149525287
1992-06-18,-0.0032370196
1992-06-19,0.0067360954
1992-06-22,-0.0006691354
1992-06-23,0.0015852937
1992-06-24,-0.0004951533
1992-06-25,-0.0017844786
