n_photons,n_modes,seed,fold_index,train_acc,val_acc,test_acc,qorc_output_size,n_train_epochs,duration_qfeatures,duration_train,best_val_epoch
2,80,42,0,0.998562,0.976,0.974199,3240,100,0.8799999999999999,79.38,82
2,80,47,0,0.998125,0.976416,0.975699,3240,100,1.06,79.19,95
2,80,53,0,0.998145,0.973833,0.976399,3240,100,0.9099999999999999,78.9,77
2,80,59,0,0.99677,0.971833,0.975099,3240,100,0.8899999999999999,79.56,72
2,80,67,0,0.997354,0.975083,0.974599,3240,100,0.9099999999999999,79.53,80
2,90,42,0,0.998979,0.974166,0.974799,4095,100,1.25,82.21,84
2,90,47,0,0.998604,0.973999,0.973399,4095,100,0.96,81.88,92
2,90,53,0,0.99852,0.973416,0.974899,4095,100,0.96,81.88,80
2,90,59,0,0.998958,0.971749,0.975899,4095,100,0.97,81.84,82
2,90,67,0,0.998333,0.974749,0.973999,4095,100,0.97,81.75,80
2,100,42,0,0.999041,0.97025,0.973599,5050,100,1.14,84.39,87
2,100,47,0,0.999583,0.97425,0.973899,5050,100,1.0,84.08,89
2,100,53,0,0.999395,0.97425,0.975199,5050,100,0.99,84.27,92
2,100,59,0,0.999374,0.974833,0.975099,5050,100,1.0,84.05,96
2,100,67,0,0.999479,0.974749,0.974599,5050,100,1.02,84.64,100
3,10,42,0,0.970166,0.955833,0.953999,220,100,1.1,70.72,96
3,10,47,0,0.969479,0.955166,0.956399,220,100,0.74,69.74,60
3,10,53,0,0.968645,0.955166,0.956599,220,100,0.73,70.18,51
3,10,59,0,0.967395,0.950833,0.953099,220,100,0.74,70.08,64
3,10,67,0,0.968625,0.955083,0.956599,220,100,0.73,69.94,46
3,12,42,0,0.976479,0.961666,0.959999,364,100,0.7,70.45,68
3,12,47,0,0.975895,0.958166,0.962799,364,100,0.71,70.9,58
3,12,53,0,0.975812,0.960916,0.960399,364,100,0.7,70.75,71
3,12,59,0,0.977395,0.957666,0.963399,364,100,0.7,70.58,65
3,12,67,0,0.976104,0.961749,0.961899,364,100,0.6900000000000001,70.68,59
3,14,42,0,0.980895,0.96625,0.964699,560,100,0.72,71.2,68
3,14,47,0,0.980645,0.96125,0.962499,560,100,0.71,71.22,65
3,14,53,0,0.980708,0.965666,0.965199,560,100,0.72,71.21,75
3,14,59,0,0.982374,0.964583,0.964499,560,100,0.71,71.25,64
3,14,67,0,0.979624,0.962833,0.961799,560,100,0.72,71.42,70
3,16,42,0,0.984791,0.967166,0.966699,816,100,0.72,72.74,87
3,16,47,0,0.986854,0.967083,0.966499,816,100,0.72,72.43,65
3,16,53,0,0.986104,0.965416,0.967199,816,100,0.7100000000000001,72.41,75
3,16,59,0,0.986208,0.96625,0.967899,816,100,0.72,72.52,50
3,16,67,0,0.986541,0.969666,0.9677,816,100,0.7100000000000001,72.3,68
3,18,42,0,0.990333,0.971749,0.969899,1140,100,0.75,73.66,68
3,18,47,0,0.989979,0.9685,0.970599,1140,100,0.74,73.38,65
3,18,53,0,0.987541,0.970083,0.968599,1140,100,0.74,74.2,61
3,18,59,0,0.99077,0.969249,0.968699,1140,100,0.74,73.76,65
3,18,67,0,0.989916,0.973833,0.971699,1140,100,0.74,74.13,81
3,20,42,0,0.992124,0.97275,0.970399,1540,100,0.76,75.92,45
3,20,47,0,0.993291,0.971416,0.971799,1540,100,0.76,75.83,62
3,20,53,0,0.991625,0.97425,0.9745,1540,100,0.76,75.29,40
3,20,59,0,0.989916,0.971333,0.972599,1540,100,0.76,75.4,46
3,20,67,0,0.992208,0.975583,0.972499,1540,100,0.75,75.55,73
3,24,42,0,0.9965,0.976333,0.973299,2600,100,0.8099999999999999,78.73,68
3,24,47,0,0.997229,0.974666,0.972999,2600,100,0.7999999999999999,78.45,58
